ID,Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,time_signature,Genre,Artists,Popularity
76NJHvU5dKh9tgbVQswtoy,NewName,0.802,0.76,0.0,-5.531000000000001,1.0,0.0441,0.191,2.3899999999999998e-05,0.16399999999999998,0.636,118.013,176266.0,4.0,deepchill-out,Lucas Estrada,37
0vLrOC3QioMpkRV6mnhjR2,Catania,0.6990000000000001,0.635,1.0,-6.7139999999999995,0.0,0.0334,0.036000000000000004,0.00151,0.109,0.322,101.989,188235.0,4.0,deepchill-out,Agatino Romero,45
7CM3JX7fhdOV1zfkfNMnbx,OneLove,0.617,0.402,2.0,-11.652000000000001,1.0,0.212,0.655,0.0,0.10800000000000001,0.255,107.889,185000.0,4.0,deepchill-out,Luca,44
5VYVZe53DGjhWrCg31sfWQ,BlackGasoline[farfetch\dRemix],0.68,0.8290000000000001,0.0,-4.962,0.0,0.0802,0.142,0.0,0.149,0.434,105.984,223019.0,4.0,deepchill-out,Mark Mendy,44
5aCgExbgM11JlTFayWNrUp,GiveMeYourLove-yeatsRemix,0.85,0.40700000000000003,2.0,-10.075,1.0,0.42200000000000004,0.475,6.58e-06,0.382,0.555,104.06,190385.0,4.0,deepchill-out,James Carter,29
510UgVCpnUaQ5ACHW2J8gu,Recognise,0.7170000000000001,0.741,10.0,-6.645,0.0,0.053,0.155,0.0,0.133,0.188,105.997,186062.0,4.0,deepchill-out,Lost Frequencies,63
6ihLasa9JIXmEZyfqeE24a,FightingMirrors,0.4,0.833,11.0,-4.806,0.0,0.126,0.126,0.0,0.10400000000000001,0.49700000000000005,115.792,164625.0,4.0,deepchill-out,Iceleak,47
3Df5CJXHYZtNHChBzboB71,Nobody,0.644,0.7040000000000001,5.0,-7.3,0.0,0.0491,0.292,0.00143,0.136,0.179,97.944,199996.0,4.0,deepchill-out,Muna,30
2EAtQdFWXFRGFJEjP29cQL,GiveMeYourLove-DivinersRemix,0.698,0.691,4.0,-5.654,0.0,0.0394,0.397,0.0,0.0684,0.495,109.9,206477.0,4.0,deepchill-out,James Carter,36
7qUcpBXMYDrDw23CtQOraF,HitTheGround,0.649,0.778,0.0,-8.923,0.0,0.0618,0.0804,9.85e-06,0.245,0.524,121.936,201444.0,4.0,deepchill-out,Aérotique,44
0N6RXK8Io1XULZKD0Ly15n,Ecstasy,0.501,0.604,9.0,-8.536,0.0,0.0818,0.305,0.0040100000000000005,0.10300000000000001,0.163,118.907,183571.0,4.0,deepchill-out,MVCA,17
0WyVG698gXiHEdtiX9u25H,OnYourSide,0.672,0.56,8.0,-12.497,0.0,0.0415,0.193,0.919,0.10300000000000001,0.179,114.033,153947.0,4.0,deepchill-out,Matter Of Tact,37
2JKUye1VGGeLUdQ5Z8OZhe,MissYou,0.552,0.5479999999999999,1.0,-8.322000000000001,0.0,0.0303,0.131,0.0186,0.0942,0.249,155.91,192000.0,4.0,deepchill-out,Blewbird,56
5g5FqNmXKLIk1GlpReVkxb,HeartsonFire,0.831,0.677,5.0,-5.807,0.0,0.0963,0.27399999999999997,0.00259,0.10300000000000001,0.6809999999999999,100.049,200665.0,4.0,deepchill-out,Taquino,16
47y8A39AK1ztBnUbhcBWIb,NothingtoSay,0.65,0.509,10.0,-8.407,0.0,0.048,0.225,0.00019099999999999998,0.111,0.298,108.019,206667.0,4.0,deepchill-out,Y.V.E. 48,54
